,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
0,aldehyde,cis,258.6,250,251,251
1,aldehyde,cis,256.8,232,251,247
2,aldehyde,cis,269.1,250,262,262
3,aldehyde,cis,247.0,250,248,243
4,aldehyde,trans,239.6,232,248,249
5,aldehyde,trans,240.0,250,251,253
6,aldehyde,no_stereo,257.6,250,251,250
7,aldehyde,cis,247.6,250,251,251
8,aldehyde,cis,264.2,250,262,251
9,aldehyde,trans,234.4,250,251,253
10,aldehyde,trans,254.1,250,251,253
11,aldehyde,trans,252.5,232,251,249
12,aldehyde,trans,252.3,250,251,253
13,aldehyde,no_stereo,251.0,232,251,251
14,aldehyde,cis,260.6,250,262,262
15,aldehyde,trans,266.1,250,251,245
16,aldehyde,trans,228.3,232,251,254
17,aldehyde,trans,255.3,250,262,264
18,aldehyde,trans,265.9,250,262,253
19,aldehyde,trans,264.9,250,262,264
20,aldehyde,no_stereo,263.9,250,262,261
21,aldehyde,trans,258.8,250,262,264
22,aldehyde,trans,259.2,250,262,264
23,aldehyde,trans,242.6,250,248,245
24,aldehyde,cis,236.0,250,251,251
25,aldehyde,cis,239.4,250,251,243
26,aldehyde,cis,244.9,250,262,262
27,aldehyde,no_stereo,235.6,250,243,242
28,aldehyde,trans,220.3,250,243,245
29,aldehyde,cis,233.5,232,248,247
30,aldehyde,cis,249.2,250,251,251
31,aldehyde,cis,245.6,232,251,252
32,aldehyde,cis,259.6,250,262,262
33,aldehyde,cis,237.6,250,243,243
34,aldehyde,no_stereo,257.2,257,266,263
35,aldehyde,trans,270.5,275,269,270
36,aldehyde,trans,263.5,257,269,266
37,aldehyde,trans,273.1,275,280,281
38,aldehyde,trans,267.5,275,266,262
39,aldehyde,cis,288.9,257,266,264
40,aldehyde,cis,294.5,275,269,268
41,aldehyde,trans,263.6,275,269,270
42,aldehyde,trans,270.2,275,280,270
43,aldehyde,cis,284.6,275,269,268
44,aldehyde,cis,267.2,275,269,268
45,aldehyde,cis,301.1,257,269,264
46,aldehyde,cis,304.6,275,269,268
47,aldehyde,no_stereo,267.4,257,269,268
48,aldehyde,trans,275.2,275,280,281
49,aldehyde,cis,295.3,275,269,260
50,aldehyde,cis,284.3,257,269,269
51,aldehyde,cis,305.5,275,280,279
52,aldehyde,cis,307.7,275,280,268
53,aldehyde,cis,309.1,275,280,279
54,aldehyde,no_stereo,280.6,275,280,278
55,aldehyde,cis,275.0,275,280,279
56,aldehyde,cis,278.7,275,280,279
57,aldehyde,cis,248.5,275,266,260
58,aldehyde,trans,271.0,275,269,270
59,aldehyde,trans,289.9,275,269,262
60,aldehyde,trans,261.7,275,280,281
61,aldehyde,no_stereo,265.5,275,261,259
62,aldehyde,cis,256.7,275,261,260
63,aldehyde,trans,272.0,257,266,266
64,aldehyde,trans,283.1,275,269,270
65,aldehyde,trans,307.2,257,269,271
66,aldehyde,trans,311.6,275,280,281
67,aldehyde,trans,302.7,275,261,262
68,aldehyde,no_stereo,261.2,237,265,262
69,aldehyde,trans,266.6,255,268,269
70,aldehyde,trans,265.5,237,268,265
71,aldehyde,trans,274.2,255,279,280
72,aldehyde,trans,277.9,255,265,261
73,aldehyde,cis,238.2,237,265,263
74,aldehyde,cis,268.1,255,268,267
75,aldehyde,no_stereo,268.0,255,268,266
76,aldehyde,trans,263.2,255,268,269
77,aldehyde,trans,276.1,255,279,269
78,aldehyde,cis,250.1,255,268,267
79,aldehyde,cis,267.4,255,268,267
80,aldehyde,cis,267.0,237,268,263
81,aldehyde,cis,269.1,255,268,267
82,aldehyde,trans,283.4,255,279,280
83,aldehyde,cis,259.6,255,268,259
84,aldehyde,cis,246.7,237,268,268
85,aldehyde,cis,275.4,255,279,278
86,aldehyde,cis,280.6,255,279,267
87,aldehyde,cis,280.1,255,279,278
88,aldehyde,no_stereo,286.4,255,279,277
89,aldehyde,cis,279.7,255,279,278
90,aldehyde,cis,272.7,255,279,278
91,aldehyde,cis,248.4,255,265,259
92,aldehyde,trans,260.7,255,268,269
93,aldehyde,trans,265.3,255,268,261
94,aldehyde,trans,270.7,255,279,280
95,aldehyde,no_stereo,238.1,255,260,258
96,aldehyde,cis,252.3,255,260,259
97,aldehyde,trans,262.1,237,265,265
98,aldehyde,trans,268.4,255,268,269
99,aldehyde,trans,274.3,237,268,270
100,aldehyde,trans,284.4,255,279,280
101,aldehyde,trans,265.0,255,260,261
102,aldehyde,no_stereo,274.5,247,275,273
103,aldehyde,trans,273.3,265,278,280
104,aldehyde,trans,278.3,247,278,276
105,aldehyde,trans,286.2,265,289,291
106,aldehyde,trans,266.9,265,275,272
107,aldehyde,cis,266.8,247,275,274
108,aldehyde,cis,277.4,265,278,278
109,aldehyde,no_stereo,264.9,265,278,277
110,aldehyde,trans,278.1,265,278,280
111,aldehyde,trans,290.0,265,289,280
112,aldehyde,cis,264.7,265,278,278
113,aldehyde,cis,254.4,265,278,278
114,aldehyde,cis,280.0,247,278,274
115,aldehyde,cis,279.8,265,278,278
116,aldehyde,no_stereo,285.2,247,278,278
117,aldehyde,trans,291.7,265,289,291
118,aldehyde,cis,270.0,265,278,270
119,aldehyde,cis,276.0,247,278,279
120,aldehyde,cis,283.9,265,289,289
121,aldehyde,cis,295.2,265,289,278
122,aldehyde,cis,288.5,265,289,289
123,aldehyde,cis,282.9,265,289,289
124,aldehyde,cis,266.0,265,289,289
125,aldehyde,cis,269.7,265,275,270
126,aldehyde,trans,266.2,265,278,280
127,aldehyde,trans,273.5,265,278,272
128,aldehyde,trans,281.9,265,289,291
129,aldehyde,no_stereo,279.6,265,270,269
130,aldehyde,cis,249.3,265,270,270
131,aldehyde,trans,282.1,247,275,276
132,aldehyde,trans,279.4,265,278,280
133,aldehyde,trans,286.4,247,278,281
134,aldehyde,trans,294.4,265,289,291
135,aldehyde,trans,274.9,265,270,272
136,aldehyde,no_stereo,271.6,257,275,273
137,aldehyde,trans,287.9,275,278,280
138,aldehyde,trans,293.9,257,278,276
139,aldehyde,trans,303.3,275,289,291
140,aldehyde,trans,284.8,275,275,272
141,aldehyde,cis,258.9,257,275,274
142,aldehyde,cis,280.4,275,278,278
143,aldehyde,no_stereo,279.9,275,278,277
144,aldehyde,trans,294.0,275,278,280
145,aldehyde,trans,290.6,275,289,280
146,aldehyde,cis,271.1,275,278,278
147,aldehyde,cis,263.3,275,278,278
